County,Population
".Clayton County, Georgia","299,394"
".Clinch County, Georgia","6,745"
".Cobb County, Georgia","766,086"
".Coffee County, Georgia","43,088"
".Colquitt County, Georgia","45,899"
".Columbia County, Georgia","156,011"
".Cook County, Georgia","17,231"
".Coweta County, Georgia","146,169"
".Crawford County, Georgia","12,126"
".Crisp County, Georgia","20,130"
".Dade County, Georgia","16,246"
".Dawson County, Georgia","26,797"
".Decatur County, Georgia","29,367"
".DeKalb County, Georgia","764,532"
".Dodge County, Georgia","20,002"
".Dooly County, Georgia","11,214"
".Dougherty County, Georgia","85,796"
".Douglas County, Georgia","144,336"
".Early County, Georgia","10,851"
".Echols County, Georgia","3,704"
".Effingham County, Georgia","64,792"
".Elbert County, Georgia","19,634"
".Emanuel County, Georgia","22,772"
".Evans County, Georgia","10,776"
".Fannin County, Georgia","25,320"
".Fayette County, Georgia","119,196"
".Floyd County, Georgia","98,580"
".Forsyth County, Georgia","251,285"
".Franklin County, Georgia","23,429"
".Fulton County, Georgia","1,066,546"
".Gilmer County, Georgia","31,342"
".Glascock County, Georgia","2,880"
".Glynn County, Georgia","84,505"
".Gordon County, Georgia","57,548"
".Grady County, Georgia","26,238"
".Greene County, Georgia","18,915"
".Gwinnett County, Georgia","957,290"
".Habersham County, Georgia","46,029"
".Hall County, Georgia","202,823"
".Hancock County, Georgia","8,733"
".Haralson County, Georgia","29,918"
".Harris County, Georgia","34,667"
".Hart County, Georgia","25,831"
".Heard County, Georgia","11,410"
".Henry County, Georgia","240,705"
".Houston County, Georgia","163,640"
".Irwin County, Georgia","9,666"
".Jackson County, Georgia","75,918"
".Jasper County, Georgia","14,598"
".Jeff Davis County, Georgia","14,779"
".Jefferson County, Georgia","15,709"
".Jenkins County, Georgia","8,675"
".Johnson County, Georgia","9,188"
".Jones County, Georgia","28,349"
".Lamar County, Georgia","18,502"
".Lanier County, Georgia","9,882"
".Laurens County, Georgia","49,573"
".Lee County, Georgia","33,159"
".Liberty County, Georgia","65,284"
".Lincoln County, Georgia","7,688"
".Long County, Georgia","16,151"
".Lowndes County, Georgia","118,253"
".Lumpkin County, Georgia","33,487"
".McDuffie County, Georgia","21,632"
".McIntosh County, Georgia","10,972"
".Macon County, Georgia","12,078"
".Madison County, Georgia","30,127"
".Marion County, Georgia","7,503"
".Meriwether County, Georgia","20,622"
".Miller County, Georgia","6,000"
".Mitchell County, Georgia","21,766"
".Monroe County, Georgia","27,957"
".Montgomery County, Georgia","8,602"
".Morgan County, Georgia","20,100"
".Murray County, Georgia","39,975"
".Muscogee County, Georgia","206,918"
".Newton County, Georgia","112,529"
".Oconee County, Georgia","41,804"
".Oglethorpe County, Georgia","14,823"
".Paulding County, Georgia","168,651"
".Peach County, Georgia","27,988"
".Pickens County, Georgia","33,222"
".Pierce County, Georgia","19,713"
".Pike County, Georgia","18,885"
".Polk County, Georgia","42,848"
".Pulaski County, Georgia","9,857"
".Putnam County, Georgia","22,044"
".Quitman County, Georgia","2,234"
".Rabun County, Georgia","16,879"
".Randolph County, Georgia","6,417"
".Richmond County, Georgia","206,601"
".Rockdale County, Georgia","93,513"
".Schley County, Georgia","4,550"
".Screven County, Georgia","14,065"
".Seminole County, Georgia","9,152"
".Spalding County, Georgia","67,301"
".Stephens County, Georgia","26,776"
".Stewart County, Georgia","5,311"
".Sumter County, Georgia","29,614"
".Talbot County, Georgia","5,733"
".Taliaferro County, Georgia","1,558"
".Tattnall County, Georgia","24,287"
".Taylor County, Georgia","7,815"
".Telfair County, Georgia","12,472"
".Terrell County, Georgia","9,184"
".Thomas County, Georgia","45,800"
".Tift County, Georgia","41,359"
".Toombs County, Georgia","27,030"
".Towns County, Georgia","12,490"
".Treutlen County, Georgia","6,397"
".Troup County, Georgia","69,432"
".Turner County, Georgia","9,002"
".Twiggs County, Georgia","8,022"
".Union County, Georgia","24,625"
".Upson County, Georgia","27,696"
".Walker County, Georgia","67,658"
".Walton County, Georgia","96,636"
".Ware County, Georgia","36,247"
".Warren County, Georgia","5,215"
".Washington County, Georgia","19,998"
".Wayne County, Georgia","30,141"
".Webster County, Georgia","2,349"
".Wheeler County, Georgia","7,482"
".White County, Georgia","28,004"
".Whitfield County, Georgia","102,873"
".Wilcox County, Georgia","8,769"
".Wilkes County, Georgia","9,561"
".Wilkinson County, Georgia","8,881"
".Worth County, Georgia","20,775"
".Hawaii County, Hawaii","200,629"
".Honolulu County, Hawaii","1,016,494"
".Kalawao County, Hawaii",80
".Kauai County, Hawaii","73,292"
".Maui County, Hawaii","164,757"
".Ada County, Idaho","494,969"
".Adams County, Idaho","4,379"
".Bannock County, Idaho","87,023"
".Bear Lake County, Idaho","6,370"
".Benewah County, Idaho","9,532"
".Bingham County, Idaho","47,983"
".Blaine County, Idaho","24,274"
".Boise County, Idaho","7,613"
".Bonner County, Idaho","47,109"
".Bonneville County, Idaho","123,957"
".Boundary County, Idaho","12,060"
".Butte County, Idaho","2,575"
".Camas County, Idaho","1,074"
".Canyon County, Idaho","231,116"
".Caribou County, Idaho","7,030"
".Cassia County, Idaho","24,685"
".Clark County, Idaho",790
".Clearwater County, Idaho","8,730"
".Custer County, Idaho","4,276"
".Elmore County, Idaho","28,674"
".Franklin County, Idaho","14,194"
".Fremont County, Idaho","13,385"
".Gem County, Idaho","19,127"
".Gooding County, Idaho","15,608"
".Idaho County, Idaho","16,544"
".Jefferson County, Idaho","30,891"
".Jerome County, Idaho","24,238"
".Kootenai County, Idaho","171,362"
".Latah County, Idaho","39,521"
".Lemhi County, Idaho","7,975"
".Lewis County, Idaho","3,523"
".Lincoln County, Idaho","5,129"
".Madison County, Idaho","52,911"
".Minidoka County, Idaho","21,584"
".Nez Perce County, Idaho","42,091"
".Oneida County, Idaho","4,564"
".Owyhee County, Idaho","11,918"
".Payette County, Idaho","25,385"
".Power County, Idaho","7,879"
".Shoshone County, Idaho","13,173"
".Teton County, Idaho","11,630"
